Date	Current Oil in Place,  sm3	Current Oil in Place[M691.DATA],  sm3	Current Oil in Place[M767.DATA],  sm3	Current Oil in Place[M809.DATA],  sm3	Current Oil in Place[M900.DATA],  sm3	Current Oil in Place[M928.DATA],  sm3	Current Oil in Place[M998.DATA],  sm3	Current Oil in Place[M1108.DATA],  sm3	Current Oil in Place[M1295.DATA],  sm3	Current Oil in Place[M1352.DATA],  sm3	Current Oil in Place[M1419.DATA],  sm3	Current Oil in Place[M1434.DATA],  sm3	Current Oil in Place[M1508.DATA],  sm3	Current Oil in Place[M1566.DATA],  sm3	Current Oil in Place[M1586.DATA],  sm3	Current Oil in Place[M1614.DATA],  sm3	Current Oil in Place[M1689.DATA],  sm3	Current Oil in Place[M1698.DATA],  sm3	Current Oil in Place[M1766.DATA],  sm3	Current Oil in Place[M1794.DATA],  sm3	Current Oil in Place[MTruth_Case.DATA],  sm3
01/10/2017	3.5455e+06	4.14474e+06	3.53385e+06	3.55852e+06	3.91966e+06	4.38272e+06	4.29193e+06	4.20691e+06	3.57893e+06	4.21646e+06	4.23053e+06	4.09243e+06	3.48191e+06	3.64594e+06	4.55278e+06	3.64144e+06	4.47939e+06	3.66354e+06	3.78158e+06	3.89864e+06	4.96714e+06
31/10/2017	3.53765e+06	4.13934e+06	3.50921e+06	3.55098e+06	3.89379e+06	4.37588e+06	4.2787e+06	4.18502e+06	3.57484e+06	4.19612e+06	4.21809e+06	4.06879e+06	3.45865e+06	3.61735e+06	4.54e+06	3.61502e+06	4.46743e+06	3.64174e+06	3.76001e+06	3.87174e+06	4.9442e+06
30/11/2017	3.5307e+06	4.13433e+06	3.48962e+06	3.54405e+06	3.87268e+06	4.36966e+06	4.26741e+06	4.1686e+06	3.57105e+06	4.18118e+06	4.20785e+06	4.05133e+06	3.44073e+06	3.59521e+06	4.5298e+06	3.5952e+06	4.45762e+06	3.62499e+06	3.74329e+06	3.85202e+06	4.92666e+06
30/12/2017	3.52399e+06	4.12946e+06	3.4719e+06	3.53733e+06	3.8537e+06	4.36371e+06	4.25689e+06	4.15437e+06	3.56734e+06	4.1682e+06	4.19855e+06	4.03652e+06	3.42477e+06	3.57569e+06	4.52071e+06	3.5776e+06	4.44884e+06	3.61005e+06	3.7284e+06	3.83484e+06	4.91192e+06
29/01/2018	3.51742e+06	4.12467e+06	3.45493e+06	3.53073e+06	3.83575e+06	4.35792e+06	4.24681e+06	4.14125e+06	3.56368e+06	4.15639e+06	4.18985e+06	4.02302e+06	3.40963e+06	3.55677e+06	4.51241e+06	3.56058e+06	4.44078e+06	3.59577e+06	3.71423e+06	3.81842e+06	4.899e+06
28/02/2018	3.51092e+06	4.11995e+06	3.43816e+06	3.52419e+06	3.81822e+06	4.35226e+06	4.23702e+06	4.12866e+06	3.56004e+06	4.14522e+06	4.18153e+06	4.01018e+06	3.39475e+06	3.53783e+06	4.50461e+06	3.54364e+06	4.43329e+06	3.58165e+06	3.70027e+06	3.80217e+06	4.88756e+06
30/03/2018	3.50446e+06	4.11528e+06	3.42135e+06	3.51767e+06	3.80077e+06	4.34668e+06	4.2274e+06	4.11636e+06	3.55642e+06	4.1344e+06	4.17345e+06	3.99767e+06	3.37987e+06	3.51872e+06	4.49724e+06	3.52661e+06	4.4262e+06	3.56749e+06	3.6863e+06	3.78592e+06	4.87724e+06
29/04/2018	3.49801e+06	4.11064e+06	3.40438e+06	3.51116e+06	3.78323e+06	4.34115e+06	4.21787e+06	4.10415e+06	3.5528e+06	4.12375e+06	4.16551e+06	3.98527e+06	3.36487e+06	3.49943e+06	4.49016e+06	3.50946e+06	4.4194e+06	3.55319e+06	3.67221e+06	3.76959e+06	4.86777e+06
29/05/2018	3.49156e+06	4.10602e+06	3.38722e+06	3.50466e+06	3.76554e+06	4.33568e+06	4.20838e+06	4.09194e+06	3.54919e+06	4.11318e+06	4.15765e+06	3.97288e+06	3.34971e+06	3.48003e+06	4.4833e+06	3.49222e+06	4.41277e+06	3.53871e+06	3.65794e+06	3.75323e+06	4.85904e+06
28/06/2018	3.48509e+06	4.10141e+06	3.36986e+06	3.49814e+06	3.74766e+06	4.33021e+06	4.19889e+06	4.07969e+06	3.54559e+06	4.10262e+06	4.14983e+06	3.96045e+06	3.33436e+06	3.46055e+06	4.47658e+06	3.47495e+06	4.40627e+06	3.52404e+06	3.6435e+06	3.73686e+06	4.85067e+06
28/07/2018	3.47861e+06	4.09682e+06	3.35231e+06	3.4916e+06	3.72959e+06	4.32477e+06	4.18938e+06	4.06737e+06	3.54199e+06	4.09204e+06	4.14201e+06	3.94793e+06	3.31885e+06	3.44105e+06	4.46996e+06	3.4577e+06	4.39986e+06	3.50921e+06	3.6289e+06	3.7205e+06	4.84256e+06
27/08/2018	3.47211e+06	4.09222e+06	3.33458e+06	3.48504e+06	3.71134e+06	4.31934e+06	4.17985e+06	4.05495e+06	3.53838e+06	4.08142e+06	4.13419e+06	3.93534e+06	3.30321e+06	3.42158e+06	4.46339e+06	3.44049e+06	4.39351e+06	3.49421e+06	3.61414e+06	3.70414e+06	4.8347e+06
26/09/2018	3.46558e+06	4.08762e+06	3.31668e+06	3.47847e+06	3.6929e+06	4.31391e+06	4.1703e+06	4.04247e+06	3.53477e+06	4.07075e+06	4.12636e+06	3.92264e+06	3.28744e+06	3.40217e+06	4.45685e+06	3.42336e+06	4.38718e+06	3.47907e+06	3.59924e+06	3.68781e+06	4.82705e+06
26/10/2018	3.45902e+06	4.08302e+06	3.29864e+06	3.47187e+06	3.67434e+06	4.30848e+06	4.16071e+06	4.02992e+06	3.53115e+06	4.06002e+06	4.11849e+06	3.90985e+06	3.27156e+06	3.38299e+06	4.45033e+06	3.40638e+06	4.38086e+06	3.46381e+06	3.58422e+06	3.67152e+06	4.81949e+06
