Date	Water Injection Total,  sm3	Water Injection Total[M691.DATA],  sm3	Water Injection Total[M767.DATA],  sm3	Water Injection Total[M809.DATA],  sm3	Water Injection Total[M900.DATA],  sm3	Water Injection Total[M928.DATA],  sm3	Water Injection Total[M998.DATA],  sm3	Water Injection Total[M1108.DATA],  sm3	Water Injection Total[M1295.DATA],  sm3	Water Injection Total[M1352.DATA],  sm3	Water Injection Total[M1419.DATA],  sm3	Water Injection Total[M1434.DATA],  sm3	Water Injection Total[M1508.DATA],  sm3	Water Injection Total[M1566.DATA],  sm3	Water Injection Total[M1586.DATA],  sm3	Water Injection Total[M1614.DATA],  sm3	Water Injection Total[M1689.DATA],  sm3	Water Injection Total[M1698.DATA],  sm3	Water Injection Total[M1766.DATA],  sm3	Water Injection Total[M1794.DATA],  sm3	Water Injection Total[MTruth_Case.DATA],  sm3
01/10/2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31/10/2017	1481.87	1049.6	4072.54	1677.87	3962.43	1076.78	1549.94	1945.65	1087.78	1619.67	1156.33	1917.86	3318.13	4786.3	589.454	4472.13	588.203	3384.21	3254.74	4081.81	359.345
30/11/2017	4758.16	2854.83	14909.6	5182.79	14407.7	2960.03	5425.51	7398.61	2854.86	5911.74	3648.65	7453.02	12377.7	18079.1	1803.17	16323.5	1804	11714.2	11172.5	14678.3	1298.12
30/12/2017	9509.08	5448.18	29484.6	10126.3	28727.5	5815.73	11382.5	15876	5308.15	12625.4	7749.7	16165.5	24938.8	36037.1	3901.39	32341	3901.93	23267.4	22254.9	29012.9	3253.58
29/01/2018	15237.2	8676.83	46188.3	15976.7	45374.2	9424.34	18817.6	26314.4	8263.9	21145.5	13229.3	26866.6	39502.3	56012.8	6928.94	50109.5	6848.89	36803.3	35373.8	45239.4	6216.24
28/02/2018	21565	12449.7	64143.6	22405.8	63534.5	13645.4	27360.4	37950.5	11545.7	30883.1	19726	38835.4	55214.3	76899.9	10732.3	68684.4	10616.4	51513.4	49757.9	62453.4	10196.7
30/03/2018	28297	16567.7	82830	29214	82590.4	18348.7	36652.2	50446.9	15069.8	41396.5	26924.7	51631.6	71626.9	98211.8	15296.4	87636.3	15076.2	66966.8	64921.8	80208.5	15060.3
29/04/2018	35301.5	20960.5	101964	36265.8	102219	23450.9	46480.4	63480.6	18755.6	52422.7	34652.5	64953	88488.4	119722	20460.8	106770	20096	82916.5	80619.3	98234.3	20638.4
29/05/2018	42482.5	25577.2	121375	43483.4	122197	28816.9	56659	76885.4	22561.5	63792.4	42762.6	78607.2	105653	141317	26125.4	125989	25510.5	99191.9	96656.1	116361	26881.8
28/06/2018	49774.9	30363.4	140976	50810.9	142423	34373.9	67076.1	90533.2	26446.3	75396.5	51119.9	92489.4	123012	162933	32192	145198	31293.1	115706	112934	134494	33519.7
28/07/2018	57134.4	35266.6	160741	58205.9	162832	40088.8	77648.9	104356	30396.6	87167.1	59661.5	106541	140490	184524	38528.5	164349	37382.7	132392	129392	152592	40431.8
27/08/2018	64527.9	40257.2	180637	65636	183375	45923.4	88308.9	118303	34393.3	99056.1	68331.6	120712	158036	206053	45088.5	183414	43739.8	149228	145983	170661	47675.6
26/09/2018	71940.7	45303.1	200661	73083.4	204034	51833.9	99038.3	132332	38420.7	111025	77086	134985	175657	227500	51837.1	202383	50267.6	166173	162684	188699	55217.1
26/10/2018	79360.4	50402.8	220787	80536.6	224775	57804.6	109814	146427	42470.5	123059	85918.1	149330	193352	248821	58740.2	221206	56961.3	183213	179473	206693	62941.8
25/11/2018	86775.5	55539.9	241011	87991.6	245592	63821.9	120617	160571	46533	135142	94796.6	163735	211124	269925	65770.9	239833	63788.5	200335	196332	224624	70825.2
25/12/2018	94190.5	60704.3	261323	95442.5	266482	69860.8	131444	174754	50604.3	147268	103716	178190	228956	290722	72904.5	258172	70723.8	217527	213270	242404	78845
24/01/2019	101603	65884	281705	102892	287430	75921.9	142290	188969	54680.1	159429	112668	192688	246846	311077	80107.2	276109	77748.5	234774	230276	259980	86985.9
23/02/2019	109012	71072.6	302149	110336	308443	82000	153151	203209	58757.5	171621	121644	207219	264783	330992	87407.4	293597	84849	252061	247329	277225	95233.8
25/03/2019	116416	76268	322624	117780	329487	88090	164027	217465	62835.6	183837	130639	221772	282753	350405	94764.9	310728	92022	269373	264405	294116	103574
24/04/2019	123815	81468.4	343121	125223	350557	94184.4	174916	231734	66913.8	196073	139653	236344	300735	369337	102171	327467	99239.2	286597	281434	310714	111982
24/05/2019	131213	86671.8	363629	132666	371578	100284	185814	246008	70991.3	208328	148683	250930	318704	387934	109618	344003	106496	303486	298156	326946	120475
23/06/2019	138611	91876.7	384107	140108	392239	106387	196723	260276	75065.5	220596	157727	265531	336562	406200	117101	360296	113786	319953	314460	342962	129048
23/07/2019	146003	97082.2	404479	147551	412463	112494	207642	274527	79138.3	232874	166780	280125	354090	424245	124615	376404	121108	335966	330358	358832	137671
22/08/2019	153391	102287	424473	154994	432154	118606	218570	288752	83208.8	245157	175843	294709	371210	442089	132156	392316	128457	351522	345854	374494	146341
21/09/2019	160779	107489	444091	162432	451294	124720	229509	302949	87277.7	257444	184917	309274	387864	459726	139720	408079	135832	366706	361030	390037	155052
21/10/2019	168167	112692	463454	169873	469912	130835	240456	317104	91345.2	269731	193998	323792	404033	477248	147305	423768	143230	381624	375937	405493	163802
20/11/2019	175556	117894	482446	177317	487965	136951	251416	331225	95411	282010	203088	338265	419928	494692	154910	439358	150649	396339	390641	420886	172592
20/12/2019	182944	123094	501024	184761	505651	143069	262385	345298	99475.6	294266	212179	352679	435443	512101	162528	454904	158087	410911	405171	436250	181420
19/01/2020	190332	128292	519229	192213	523119	149189	273363	359302	103538	306491	221277	367018	450722	529484	170169	470425	165543	425364	419618	451594	190282
18/02/2020	197720	133491	537081	199662	540276	155310	284355	373195	107599	318682	230380	381253	465799	546870	177824	485931	173015	439753	434011	466949	199177
19/03/2020	205108	138692	554555	207110	557258	161433	295357	386958	111660	330833	239485	395347	480695	564297	185489	501441	180502	454116	448390	482346	208102
18/04/2020	212498	143893	571812	214558	574118	167559	306371	400592	115720	342954	248593	409272	495431	581770	193166	516965	188002	468465	462777	497797	217059
18/05/2020	219888	149094	588739	222008	590901	173689	317396	414088	119783	355021	257705	423041	510042	599292	200854	532505	195516	482823	477179	513295	226046
17/06/2020	227280	154296	605491	229453	607623	179821	328426	427449	123842	366991	266819	436651	524555	616874	208553	548076	203044	497221	491609	528851	235064
17/07/2020	234670	159498	622085	236898	624304	185955	339464	440667	127898	378878	275939	450100	538987	634521	216262	563682	210584	511660	506084	544473	244112
16/08/2020	242058	164700	638594	244339	640967	192091	350502	453791	131952	390659	285062	463383	553348	652238	223982	579332	218136	526146	520590	560144	253188
15/09/2020	249453	169903	654984	251779	657619	198229	361545	466730	136006	402312	294184	476506	567668	670021	231713	595018	225700	540690	535162	575893	262292
15/10/2020	256844	175107	671322	259214	674275	204368	372592	479526	140062	413815	303309	489469	581963	687881	239453	610747	233275	555290	549794	591732	271424
14/11/2020	264239	180310	687625	266642	690943	210507	383637	492179	144115	425137	312434	502278	596257	705815	247204	626526	240860	569951	564484	607624	280582
14/12/2020	271624	185513	703901	274069	707631	216648	394682	504702	148170	436295	321560	514943	610548	723829	254964	642358	248456	584677	579235	623594	289763
13/01/2021	279006	190714	720162	281479	724346	222791	405716	517096	152226	447310	330686	527474	624845	741924	262734	658240	256062	599472	594046	639659	298968
12/02/2021	286390	195916	736428	288862	741087	228935	416737	529382	156281	458193	339813	539882	639160	760094	270513	674175	263679	614337	608919	655802	308193
14/03/2021	293762	201117	752707	296187	757867	235080	427730	541574	160335	468953	348937	552181	653504	778353	278300	690173	271305	629269	623853	672012	317440
13/04/2021	301140	206319	769011	303415	774672	241232	438681	553692	164388	479601	358059	564384	667878	796700	286097	706238	278942	644270	638848	688293	326708
13/05/2021	308521	211521	785341	310546	791517	247384	449569	565747	168441	490146	367170	576506	682279	815135	293902	722359	286588	659349	653904	704643	335999
12/06/2021	315907	216725	801711	317572	808407	253538	460359	577753	172494	500595	376273	588558	696727	833660	301717	738541	294244	674503	669018	721066	345312
12/07/2021	323299	221929	818119	324498	825340	259695	471002	589718	176547	510956	385370	600550	711211	852275	309541	754791	301908	689734	684192	737554	354647
11/08/2021	330680	227134	834575	331315	842332	265852	481465	601650	180599	521246	394459	612487	725736	870982	317372	771105	309582	705043	699426	754108	364004
10/09/2021	338061	232339	851070	338035	859377	272010	491745	613557	184652	531468	403529	624377	740311	889780	325213	787480	317264	720426	714723	770725	373382
10/10/2021	345440	237545	867607	344666	876472	278171	501849	625447	188706	541633	412577	636230	754928	908670	333062	803919	324954	735890	730082	787410	382779
09/11/2021	352820	242751	884200	351211	893621	284334	511782	637323	192763	551747	421593	648055	769592	927652	340920	820422	332654	751431	745506	804159	392195
09/12/2021	360200	247958	900831	357673	910825	290497	521551	649190	196817	561822	430573	659857	784301	946726	348785	836986	340361	767049	760994	820980	401631
08/01/2022	367567	253166	917522	364066	928087	296661	531168	661058	200872	571862	439532	671642	799056	965895	356657	853614	348076	782717	776545	837862	411087
07/02/2022	374930	258375	934271	370380	945409	302825	540639	672930	204928	581863	448455	683418	813856	985159	364537	870314	355799	798463	792159	854808	420563
09/03/2022	382285	263583	951075	376624	962792	308991	549977	684811	208984	591842	457337	695184	828703	1.00452e+06	372423	887078	363529	814313	807834	871824	430058
08/04/2022	389610	268791	967933	382804	980239	315158	559198	696700	213040	601796	466140	706946	843595	1.02397e+06	380315	903908	371267	830213	823569	888907	439571
08/05/2022	396901	274001	984846	388926	997750	321326	568326	708610	217096	611733	474890	718708	858530	1.04351e+06	388216	920799	379013	846214	839366	906054	449103
07/06/2022	404139	279211	1.00182e+06	395004	1.01532e+06	327495	577374	720526	221152	621656	483519	730476	873510	1.06315e+06	396122	937756	386767	862264	855222	923266	458652
07/07/2022	411326	284420	1.01885e+06	401043	1.03296e+06	333664	586354	732457	225209	631567	492079	742260	888536	1.08288e+06	404034	954778	394527	878409	871143	940541	468219
06/08/2022	418468	289628	1.03595e+06	407040	1.05066e+06	339832	595275	744407	229266	641472	500511	754053	903613	1.10269e+06	411951	971863	402293	894629	887125	957882	477805
05/09/2022	425569	294834	1.0531e+06	412996	1.06842e+06	346002	604153	756379	233323	651371	508851	765865	918740	1.1226e+06	419873	989008	410067	910920	903167	975287	487409
05/10/2022	432611	300039	1.07032e+06	418919	1.08625e+06	352176	612986	768377	237379	661261	517130	777690	933911	1.1426e+06	427801	1.00622e+06	417847	927280	919269	992755	497030
04/11/2022	439598	305244	1.0876e+06	424826	1.10414e+06	358343	621783	780396	241436	671149	525322	789537	949133	1.16265e+06	435734	1.02349e+06	425633	943710	935431	1.01029e+06	506668
04/12/2022	446524	310447	1.10494e+06	430714	1.1221e+06	364505	630548	792441	245492	681039	533431	801407	964405	1.18283e+06	443671	1.04083e+06	433425	960209	951651	1.02789e+06	516324
03/01/2023	453398	315647	1.12234e+06	436573	1.14013e+06	370663	639281	804510	249550	690938	541458	813295	979730	1.20309e+06	451612	1.05823e+06	441223	976776	967928	1.04556e+06	525998
02/02/2023	460224	320846	1.13981e+06	442419	1.15822e+06	376814	647986	816602	253608	700847	549371	825207	995105	1.22343e+06	459560	1.07569e+06	449029	993412	984261	1.0633e+06	535687
04/03/2023	467004	326043	1.15733e+06	448245	1.17637e+06	382970	656665	828713	257665	710754	557202	837144	1.01053e+06	1.24386e+06	467512	1.09322e+06	456839	1.01012e+06	1.00065e+06	1.08111e+06	545393
03/04/2023	473730	331233	1.17491e+06	454059	1.19459e+06	389117	665322	840845	261722	720673	564950	849102	1.02602e+06	1.26435e+06	475468	1.11081e+06	464654	1.02688e+06	1.0171e+06	1.09899e+06	555115
03/05/2023	480398	336415	1.19256e+06	459864	1.21287e+06	395237	673957	853006	265780	730600	572620	861083	1.04155e+06	1.28494e+06	483428	1.12847e+06	472474	1.04372e+06	1.03359e+06	1.11695e+06	564851
