Date	Current Oil in Place,  sm3	Current Oil in Place[M503.sdata],  sm3	Current Oil in Place[M525.sdata],  sm3	Current Oil in Place[M586.sdata],  sm3	Current Oil in Place[M760.sdata],  sm3	Current Oil in Place[M776.sdata],  sm3	Current Oil in Place[M793.sdata],  sm3	Current Oil in Place[M813.sdata],  sm3	Current Oil in Place[M1086.sdata],  sm3	Current Oil in Place[M1264.sdata],  sm3	Current Oil in Place[M1269.sdata],  sm3	Current Oil in Place[M1391.sdata],  sm3	Current Oil in Place[M1467.sdata],  sm3	Current Oil in Place[M1484.sdata],  sm3	Current Oil in Place[M1586.sdata],  sm3	Current Oil in Place[M1638.sdata],  sm3	Current Oil in Place[M1680.sdata],  sm3	Current Oil in Place[M1682.sdata],  sm3	Current Oil in Place[M1737.sdata],  sm3	Current Oil in Place[M1755.sdata],  sm3	Current Oil in Place[MTruth_Case.DATA],  sm3
01/10/2017	4.3647e+06	4.20854e+06	3.55985e+06	4.0437e+06	4.27673e+06	3.60151e+06	4.18502e+06	3.68853e+06	3.46172e+06	4.07001e+06	4.60081e+06	3.20746e+06	4.66718e+06	4.58984e+06	5.12425e+06	3.85007e+06	4.49413e+06	4.88078e+06	4.54547e+06	4.84525e+06	4.96714e+06
31/10/2017	4.3563e+06	4.18148e+06	3.54969e+06	4.0324e+06	4.25183e+06	3.59288e+06	4.17532e+06	3.67852e+06	3.44554e+06	4.05962e+06	4.57981e+06	3.20025e+06	4.65741e+06	4.57842e+06	5.11279e+06	3.83473e+06	4.47269e+06	4.85369e+06	4.5214e+06	4.83349e+06	4.9442e+06
30/11/2017	4.34865e+06	4.16021e+06	3.54063e+06	4.02246e+06	4.23251e+06	3.58505e+06	4.16753e+06	3.66967e+06	3.43142e+06	4.05045e+06	4.56413e+06	3.19352e+06	4.64925e+06	4.56907e+06	5.1035e+06	3.82182e+06	4.45685e+06	4.83267e+06	4.50416e+06	4.82385e+06	4.92666e+06
30/12/2017	4.34131e+06	4.14131e+06	3.53196e+06	4.01307e+06	4.21526e+06	3.57751e+06	4.16022e+06	3.66126e+06	3.41786e+06	4.04176e+06	4.55113e+06	3.18689e+06	4.64157e+06	4.56033e+06	5.09486e+06	3.80978e+06	4.4435e+06	4.81475e+06	4.48995e+06	4.81482e+06	4.91192e+06
29/01/2018	4.33416e+06	4.12336e+06	3.52351e+06	4.00401e+06	4.19892e+06	3.57011e+06	4.15318e+06	3.65307e+06	3.40447e+06	4.03337e+06	4.53945e+06	3.1803e+06	4.63419e+06	4.55195e+06	5.08663e+06	3.79816e+06	4.43166e+06	4.79866e+06	4.47763e+06	4.80613e+06	4.899e+06
28/02/2018	4.32712e+06	4.10575e+06	3.51516e+06	3.99517e+06	4.18293e+06	3.56278e+06	4.14631e+06	3.64502e+06	3.3911e+06	4.02517e+06	4.52902e+06	3.17371e+06	4.62702e+06	4.54378e+06	5.07868e+06	3.78671e+06	4.42097e+06	4.78368e+06	4.46667e+06	4.79768e+06	4.88756e+06
30/03/2018	4.32013e+06	4.0882e+06	3.50686e+06	3.98644e+06	4.16706e+06	3.5555e+06	4.13954e+06	3.63703e+06	3.37769e+06	4.01707e+06	4.51943e+06	3.1671e+06	4.61997e+06	4.53575e+06	5.07091e+06	3.77532e+06	4.4111e+06	4.76939e+06	4.45663e+06	4.78938e+06	4.87724e+06
29/04/2018	4.31318e+06	4.0706e+06	3.49856e+06	3.97778e+06	4.15118e+06	3.54821e+06	4.13284e+06	3.62907e+06	3.36423e+06	4.00902e+06	4.51049e+06	3.16047e+06	4.61302e+06	4.52782e+06	5.06329e+06	3.76391e+06	4.40186e+06	4.75552e+06	4.44731e+06	4.78117e+06	4.86777e+06
29/05/2018	4.30625e+06	4.05291e+06	3.49025e+06	3.96914e+06	4.13524e+06	3.54092e+06	4.12617e+06	3.6211e+06	3.35072e+06	4.00099e+06	4.50209e+06	3.15382e+06	4.60613e+06	4.51992e+06	5.05576e+06	3.75247e+06	4.39308e+06	4.74185e+06	4.43851e+06	4.77302e+06	4.85904e+06
28/06/2018	4.29931e+06	4.03509e+06	3.48191e+06	3.96049e+06	4.1192e+06	3.5336e+06	4.11952e+06	3.61312e+06	3.33716e+06	3.99296e+06	4.49406e+06	3.14716e+06	4.59926e+06	4.51205e+06	5.0483e+06	3.74097e+06	4.38462e+06	4.72827e+06	4.43006e+06	4.7649e+06	4.85067e+06
28/07/2018	4.29237e+06	4.01714e+06	3.47355e+06	3.95183e+06	4.10308e+06	3.52625e+06	4.11288e+06	3.60512e+06	3.32356e+06	3.98492e+06	4.4863e+06	3.14047e+06	4.59241e+06	4.50418e+06	5.04087e+06	3.72941e+06	4.37639e+06	4.71469e+06	4.42185e+06	4.75678e+06	4.84256e+06
27/08/2018	4.28541e+06	3.9991e+06	3.46515e+06	3.94315e+06	4.08686e+06	3.51889e+06	4.10623e+06	3.59709e+06	3.30992e+06	3.97686e+06	4.47872e+06	3.13377e+06	4.58556e+06	4.4963e+06	5.03346e+06	3.71778e+06	4.3683e+06	4.70106e+06	4.41378e+06	4.74865e+06	4.8347e+06
26/09/2018	4.27844e+06	3.98095e+06	3.45672e+06	3.93444e+06	4.07054e+06	3.5115e+06	4.09957e+06	3.58903e+06	3.29628e+06	3.96877e+06	4.47125e+06	3.12706e+06	4.5787e+06	4.4884e+06	5.02606e+06	3.7061e+06	4.36027e+06	4.68734e+06	4.40579e+06	4.7405e+06	4.82705e+06
26/10/2018	4.27145e+06	3.96269e+06	3.44827e+06	3.92569e+06	4.05414e+06	3.50409e+06	4.09292e+06	3.58095e+06	3.28266e+06	3.96065e+06	4.46384e+06	3.12033e+06	4.57183e+06	4.48047e+06	5.01865e+06	3.69436e+06	4.35226e+06	4.67353e+06	4.39781e+06	4.73234e+06	4.81949e+06
25/11/2018	4.26445e+06	3.94433e+06	3.43978e+06	3.91692e+06	4.03765e+06	3.49665e+06	4.08625e+06	3.57285e+06	3.26945e+06	3.95251e+06	4.45645e+06	3.11361e+06	4.56494e+06	4.47252e+06	5.01122e+06	3.68256e+06	4.34424e+06	4.6596e+06	4.38983e+06	4.72416e+06	4.81201e+06
