Date	Water Injection Total,  sm3	Water Injection Total[M503.sdata],  sm3	Water Injection Total[M525.sdata],  sm3	Water Injection Total[M586.sdata],  sm3	Water Injection Total[M760.sdata],  sm3	Water Injection Total[M776.sdata],  sm3	Water Injection Total[M793.sdata],  sm3	Water Injection Total[M813.sdata],  sm3	Water Injection Total[M1086.sdata],  sm3	Water Injection Total[M1264.sdata],  sm3	Water Injection Total[M1269.sdata],  sm3	Water Injection Total[M1391.sdata],  sm3	Water Injection Total[M1467.sdata],  sm3	Water Injection Total[M1484.sdata],  sm3	Water Injection Total[M1586.sdata],  sm3	Water Injection Total[M1638.sdata],  sm3	Water Injection Total[M1680.sdata],  sm3	Water Injection Total[M1682.sdata],  sm3	Water Injection Total[M1737.sdata],  sm3	Water Injection Total[M1755.sdata],  sm3	Water Injection Total[MTruth_Case.DATA],  sm3
01/10/2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31/10/2017	1596.87	3595.44	1822.49	1459.12	3263.51	1771.52	1182.6	1618.47	4838.06	1459.43	539.934	2837.7	1127.55	1268.46	1087.69	2643.77	597.95	1189.64	564.867	1295.79	359.345
30/11/2017	4717.25	13941.3	6211.99	5067.6	12176.1	5709.6	3622.4	5435.8	15242.7	4810.31	1909.27	8022.29	3283.6	4008.92	3178.54	9107.1	2224.96	5398.18	2102.55	4132.32	1298.12
30/12/2017	9283.52	28584.5	12560.7	10721.1	24849.3	11353.8	7496.37	11200.3	28223.5	10005.8	4303.63	14501.9	6813.57	8515.42	6668.98	18167.4	5096.41	12500.8	4792.05	8705.46	3253.58
29/01/2018	14896.5	45621.3	20173.7	17752.4	39766.8	18049.5	12497	18167.1	42338.5	16522.4	7481.96	21554.6	11461	14352.5	11363.4	28841.2	9079.59	21793.8	8628.07	14587.5	6216.24
28/02/2018	21222.3	64000.9	28579	25786.9	55957.5	25399.6	18297.6	25959.6	56972.4	23975.7	11529.1	28834.5	16946.8	21105.2	16983.2	40508.7	14087.6	32727.5	13492.6	21476.8	10196.7
30/03/2018	28042.3	83088	37457.1	34489.1	72919.3	33149.9	24663.9	34290.6	71855.1	32019.6	16272.5	36205.9	23080.2	28572.8	23306.3	52725.8	19906.4	44913.5	19153.4	29083.7	15060.3
29/04/2018	35227.5	102579	46614.9	43632.5	90317.5	41161.1	31420.1	42938.6	86856.9	40464	21624.7	43607.5	29691.1	36530.4	30198.2	65290.1	26400.7	58100.8	25544.3	37218.6	20638.4
29/05/2018	42656.8	122309	55946.4	53038.6	107981	49324.8	38448.8	51797.4	101899	49189.3	27588.3	51014.7	36684.4	44844.5	37508.8	78064	33491.4	71947.5	32570.4	45747.6	26881.8
28/06/2018	50253.5	142200	65369.1	62623.9	125839	57583.1	45662	60778.4	116957	58093.1	34061.4	58423.9	43943.8	53432.2	45151.2	90971.2	41071	86376.1	40104.8	54561.4	33519.7
28/07/2018	57950.8	162204	74844.1	72327	143812	65890.7	52999.4	69831.2	132016	67114.9	40959.9	65832.7	51404.2	62200.6	53039.7	103965	49054	101190	48053.5	63558.9	40431.8
27/08/2018	65712.1	182296	84350.5	82102	161894	74222.2	60412.9	78924.2	147077	76213.4	48230.1	73236.4	59003.4	71082.1	61107.2	117017	57362.6	116310	56337.7	72680.7	47675.6
26/09/2018	73509.4	202479	93866.6	91915.4	180060	82564.5	67874.6	88034	162127	85357	55812.9	80640.9	66692.4	80040.5	69315.8	130114	65898.9	131665	64880.8	81872.4	55217.1
